Driver,Points,Poles,Wins,Top5,Top10,Winnings ($)
Tony Stewart,2403,1,5,9,19,6.53
Carl Edwards,2403,3,1,19,26,8.49
Kevin Harvick,2345,0,4,9,19,6.2
Matt Kenseth,2330,3,3,12,20,6.18
Brad Keselowski,2319,1,3,10,14,5.09
Jimmie Johnson,2304,0,2,14,21,6.3
Dale Earnhardt Jr.,2290,1,0,4,12,4.16
Jeff Gordon,2287,1,3,13,18,5.91
Denny Hamlin,2284,0,1,5,14,5.4
Ryan Newman,2284,3,1,9,17,5.3
Kurt Busch,2262,3,2,8,16,5.94
Kyle Busch,2246,1,4,14,18,6.16
Clint Bowyer,1047,0,1,4,16,5.63
Kasey Kahne,1041,2,1,8,15,4.78
A.J. Allmendinger,1013,0,0,1,10,4.83
Greg Biffle,997,3,0,3,10,4.32
Paul Menard,947,0,1,4,8,3.85
Martin Truex Jr.,937,1,0,3,12,3.96
Marcos Ambrose,936,0,1,5,12,4.75
Jeff Burton,935,0,0,2,5,3.81
Juan Montoya,932,2,0,2,8,5.02
Mark Martin,930,2,0,2,10,3.83
David Ragan,906,2,1,4,8,4.2
Joey Logano,902,2,0,4,6,3.86
Brian Vickers,846,0,0,3,7,4.3
Regan Smith,820,0,1,2,5,4.58
Jamie McMurray,795,1,0,2,4,4.79
David Reutimann,757,1,0,1,3,4.37
Bobby Labonte,670,0,0,1,2,4.51
David Gilliland,572,0,0,1,2,3.88
Casey Mears,541,0,0,0,0,2.84
Dave Blaney,508,0,0,1,1,3.23
Andy Lally,398,0,0,0,0,2.89
Robby Gordon,268,0,0,0,0,2.27
J.J. Yeley,192,0,0,0,0,2.56
