Month,Year,CPI
January,1990,62.75
February,1990,67.01
March,1990,75.25
April,1990,75.34
May,1990,73.3
June,1990,69.91
July,1990,68.36
August,1990,74.1
September,1990,75.55
October,1990,73.89
November,1990,70.1
December,1990,72.83
January,1991,69.38
February,1991,70.55
March,1991,72.47
April,1991,71.45
May,1991,67.47
June,1991,65.58
July,1991,64.31
August,1991,63.34
September,1991,66.86
October,1991,62.83
November,1991,64.3
December,1991,63.07
January,1992,61.12
February,1992,55.51
March,1992,56.48
April,1992,53.64
May,1992,49.27
June,1992,48.13
July,1992,48.7
August,1992,45.89
September,1992,47.11
October,1992,52.88
November,1992,57.49
December,1992,64
January,1993,58.14
February,1993,57.32
March,1993,54.76
April,1993,51.38
May,1993,54.18
June,1993,54.54
July,1993,60.61
August,1993,67.69
September,1993,71.64
October,1993,67.78
November,1993,70.03
December,1993,71.5
January,1994,69.17
February,1994,72.37
March,1994,76.11
April,1994,81.19
May,1994,108.42
June,1994,127.91
July,1994,191.44
August,1994,181.53
September,1994,202.39
October,1994,185.64
November,1994,168.12
December,1994,149.14
January,1995,152.08
February,1995,152.24
March,1995,162.73
April,1995,159.59
May,1995,155.96
June,1995,141.66
July,1995,132.71
August,1995,141.7
September,1995,124.76
October,1995,120.02
November,1995,117.99
December,1995,99.57
January,1996,100.33
February,1996,110.5
March,1996,105.89
April,1996,107.09
May,1996,110.24
June,1996,105.79
July,1996,99.97
August,1996,102.73
September,1996,96.52
October,1996,98.56
November,1996,97.14
December,1996,90.04
January,1997,100.03
February,1997,121.89
March,1997,137.47
April,1997,142.2
May,1997,180.44
June,1997,155.38
July,1997,135.04
August,1997,132.63
September,1997,132.51
October,1997,121.09
November,1997,118.16
December,1997,130.02
January,1998,130.61
February,1998,130.78
March,1998,119.93
April,1998,119.66
May,1998,114.23
June,1998,103.84
July,1998,97.32
August,1998,101.25
September,1998,95.82
October,1998,95.01
November,1998,98.26
December,1998,100.73
January,1999,97.62
February,1999,92.36
March,1999,89.4
April,1999,85.71
May,1999,89.51
June,1999,86.4
July,1999,78.2
August,1999,77.22
September,1999,71.94
October,1999,76.36
November,1999,88.22
December,1999,95.62
January,2000,82.14
February,2000,76.15
March,2000,73.49
April,2000,69.53
May,2000,69.23
June,2000,64.56
July,2000,64.08
August,2000,57.58
September,2000,57.3
October,2000,56.39
November,2000,52.17
December,2000,48.27
January,2001,49.19
February,2001,49.38
March,2001,48.51
April,2001,47.31
May,2001,49.38
June,2001,46.53
July,2001,43.07
August,2001,42.76
September,2001,41.17
October,2001,42.21
November,2001,44.24
December,2001,43.35
January,2002,43.46
February,2002,44.3
March,2002,49.49
April,2002,50.2
May,2002,47.3
June,2002,45.56
July,2002,44.7
August,2002,42.79
September,2002,47.96
October,2002,50.79
November,2002,54.68
December,2002,51.69
January,2003,54.04
February,2003,54.07
March,2003,49.61
April,2003,51.87
May,2003,53.19
June,2003,48.9
July,2003,50.89
August,2003,52.22
September,2003,54.1
October,2003,51.72
November,2003,49.8
December,2003,52.44
January,2004,58.68
February,2004,59.87
March,2004,60.8
April,2004,58.8
May,2004,59.91
June,2004,64.28
July,2004,58.46
August,2004,56.98
September,2004,61.47
October,2004,61.1
November,2004,67.74
December,2004,77.72
January,2005,79.35
February,2005,89.4
March,2005,101.44
April,2005,98.2
May,2005,99.78
June,2005,96.29
July,2005,88.48
August,2005,85.31
September,2005,78.79
October,2005,82.55
November,2005,85.93
December,2005,86.85
January,2006,101.2
February,2006,97.39
March,2006,92.76
April,2006,94.2
May,2006,90
June,2006,86.04
July,2006,88.57
August,2006,95.78
September,2006,95.98
October,2006,95.53
November,2006,103.48
December,2006,108.01
January,2007,105.81
February,2007,104.18
March,2007,100.09
April,2007,99.3
May,2007,100.09
June,2007,107.03
July,2007,106.2
August,2007,107.98
September,2007,113.2
October,2007,115.71
November,2007,114.43
December,2007,118.16
January,2008,122.33
February,2008,138.82
March,2008,136.17
April,2008,126.55
May,2008,126.76
June,2008,130.51
July,2008,132.78
August,2008,131.14
September,2008,126.69
October,2008,108.31
November,2008,107.88
December,2008,103.07
January,2009,108.39
February,2009,107.6
March,2009,105.87
April,2009,111.61
May,2009,123.05
June,2009,119.05
July,2009,112.9
August,2009,117.45
September,2009,116.4
October,2009,121.09
November,2009,119.67
December,2009,124.96
January,2010,126.85
February,2010,123.37
March,2010,125.3
April,2010,126.89
May,2010,128.1
June,2010,142.2
July,2010,153.41
August,2010,157.46
September,2010,163.61
October,2010,161.56
November,2010,173.9
December,2010,184.26
January,2011,197.35
February,2011,216.03
March,2011,224.33
April,2011,231.24
May,2011,227.97
June,2011,215.58
July,2011,210.36
August,2011,212.19
September,2011,213.04
October,2011,193.9
November,2011,193.66
December,2011,189.02
January,2012,188.9
February,2012,182.29
March,2012,167.77
April,2012,160.46
May,2012,157.68
June,2012,145.31
July,2012,159.07
August,2012,148.5
September,2012,151.28
October,2012,147.12
November,2012,136.35
December,2012,131.31
January,2013,135.38
February,2013,131.51
March,2013,131.38
April,2013,129.55
May,2013,126.96
June,2013,117.58
July,2013,118.93
August,2013,116.45
September,2013,111.82
October,2013,107.03
November,2013,100.99
December,2013,106.56
January,2014,110.75
February,2014,137.81
March,2014,165.03
April,2014,170.58
May,2014,163.94
June,2014,151.92
July,2014,152.5
August,2014,163.08
September,2014,161.79
October,2014,172.88
November,2014,162.17
December,2014,150.66
January,2015,148.24
February,2015,141.1
March,2015,127.04
April,2015,129.02
May,2015,123.49
June,2015,124.97
July,2015,119.77
August,2015,121.21
September,2015,113.14
October,2015,118.43
November,2015,115.03
December,2015,114.63
January,2016,110.89
February,2016,111.75
March,2016,117.83
April,2016,117.93
May,2016,119.91
June,2016,127.05
July,2016,132.98
August,2016,131
September,2016,138.22
October,2016,142.68
November,2016,145.82
December,2016,131.7
January,2017,139.07
February,2017,137.68
March,2017,134.07
April,2017,130.39
May,2017,125.4
June,2017,122.39
July,2017,127.26
August,2017,128.24
September,2017,124.46
October,2017,120.01
November,2017,117.26
December,2017,114
