Dport,SrcBytes,DstBytes,SrcLoad,DstLoad,SIntPkt,DIntPkt,SIntPktAct,SrcJitter,DstJitter,sMaxPktSz,dMaxPktSz,sMinPktSz,Dur,TotPkts,TotBytes,Load,Loss,pLoss,pSrcLoss,pDstLoss,Rate,Temp,SpO2,Pulse_Rate,SYS,DIA,Heart_rate,Resp_Rate,ST,Label
1110.6241,1562.021,601.3021,262029.05,-4186084.0,-8989.014,-132.19534,2730.7336,-96411.01,-1049.2726,311.03638,69.43562,539.3597,4.102082,-40.338596,1322.3448,-2919960.2,1.6905816,9.38524,4.4960804,1.5048566,8931.231,18.996733,148.3673,-184.20346,188.86601,-43.42311,-99.85602,-65.35101,1.0078546,1
1111.0631,2625.245,1295.6628,-739190.06,2077020.1,-12920.71,-2537.5989,1007.90173,-26308.406,-1129.61,311.2004,72.46628,-27.127394,-6.3441105,-40.08576,3351.6584,175027.56,8.287948,18.815702,-13.145037,35.557556,6459.9937,30.868505,1.544936,223.96782,75.711525,81.677956,-59.805607,32.157104,-2.2438848,1
1111.4187,-591.2567,783.37335,413038.78,440990.94,-20168.38,-869.4453,1380.0205,33351.773,2828.123,310.30948,62.81528,65.74463,6.9321203,-17.919626,2657.8633,-3993748.0,3.4159029,62.407814,-7.6999354,21.49484,-14593.737,23.433613,121.1306,-20.508486,321.37384,45.928097,-38.398403,-28.823187,-0.66154224,1
1109.5029,864.0126,502.97794,74293.82,-1486670.2,-9573.974,-906.97815,1598.964,42759.727,-3761.998,309.43735,65.19455,154.2225,3.7221322,-31.899317,-1164.9843,3599494.0,2.5240326,14.264598,-8.162222,19.522009,-24013.918,21.493977,294.10416,-77.14103,-20.954895,39.740246,113.01749,-84.30768,-0.81101686,1
1111.2126,121.23732,-170.4365,-255158.7,332362.56,-9339.351,-127.097336,-774.02734,71367.23,2720.0374,309.77945,67.92883,-60.277256,-6.5887365,-15.42112,427.1326,179917.38,5.081436,35.42066,-24.772913,35.301525,9010.797,30.67651,94.30239,80.96916,-46.129944,-25.235289,-83.322136,43.24446,-1.3081379,1
1111.0206,833.4346,632.66376,57827.29,-12931.972,-929.46814,-974.3499,3377.7024,-44921.05,525.7442,310.11014,65.98923,90.489655,-5.3983793,-36.99597,-25.068497,-2838403.8,2.9518566,17.431969,-14.592207,38.90431,10985.836,29.998692,82.32087,-97.66753,-112.07496,-12.673402,-103.119896,68.49803,-1.5126209,1
1111.1304,151.4123,630.1584,-791977.9,21918.604,-3769.2297,305.6169,3428.6394,-63979.78,-1611.0709,309.73996,63.72657,418.3149,-4.769535,-13.206762,-1330.9526,-4945231.5,7.960314,20.993902,-27.199589,-3.951374,-27995.111,25.502165,-163.56493,82.3569,-44.026688,45.14891,-139.17464,65.86357,-1.1210405,1
1111.4955,1798.762,198.6072,846369.94,234178.97,-8197.084,-1973.2253,-14.150552,27563.41,1395.9242,309.04874,65.88617,141.75685,-1.5587875,11.293145,-3622.2764,-5893928.0,1.4406093,18.069908,1.9034212,31.137442,6147.0146,34.53882,57.467598,-65.081795,23.990643,-12.092148,-110.304405,13.699615,-1.0514723,1
1110.5011,-701.7439,150.90315,-427046.2,-1005921.0,-1369.4899,1462.154,2724.0564,-15443.871,1186.0013,310.85974,64.81924,341.39545,-6.51392,-8.167001,2105.4927,1027815.4,4.033304,19.965122,-3.1008453,-15.363168,7818.51,26.610916,63.882656,-73.97765,123.04125,-91.13309,-32.998802,41.82232,-0.8510393,1
1110.4292,1998.7855,-613.3493,-430883.12,-233273.03,-5567.2896,-4805.9546,5062.8457,55653.883,123.58484,310.50412,55.847042,-47.99285,-1.0607582,-15.851813,-64.927826,-1477955.9,4.648372,22.580753,-9.498134,80.141495,-19739.498,23.941776,209.96552,-65.06595,53.37543,53.103184,69.38844,-33.238922,-2.327684,1
